epoch,accuracy,loss,val_accuracy,val_loss
0,0.733637273311615,0.9496269226074219,0.32287681102752686,2.9917359352111816
1,0.943666934967041,0.1855347752571106,0.765110969543457,0.7995167374610901
2,0.9685338139533997,0.10347644984722137,0.9876307249069214,0.05006861314177513
3,0.9760576486587524,0.07676383852958679,0.9889059066772461,0.045815255492925644
4,0.9745592474937439,0.08166175335645676,0.9889059066772461,0.05023151636123657
5,0.9834858179092407,0.052139829844236374,0.9908186793327332,0.04240211099386215
6,0.9851117134094238,0.04592341557145119,0.9919663071632385,0.040199894458055496
7,0.9862913489341736,0.04058168828487396,0.9923489093780518,0.03996042162179947
8,0.9871839880943298,0.039861951023340225,0.9883958101272583,0.05068547651171684
9,0.988554835319519,0.0360577218234539,0.98916095495224,0.05829238519072533
